No,actBeginTm,actEndTm,actPlace,adultPosblAt,gugunCd,nanmmbyNm,noticeBgnde,noticeEndde,progrmBgnde,progrmEndde,progrmRegistNo,progrmSj,progrmSttusSe,sidoCd,srvcClCode,url,yngbgsPosblAt,gugunNm,sidoNm
1,6,23,구글 링크 주소  :  https://forms.gle/8wjayJDzb5ACy5MG6,Y,3500000,동구자원봉사센터,20231024,20231231,20231024,20231231,3052711,[필독] 인천동구자원봉사센터 소속봉사자 - 휴면 봉사자를 위한 자원봉사자 보수교육(비대면 봉사학습),2,6280000,자원봉사교육 > 자원봉사기본교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3052711,Y,동구,인천광역시
2,18,19,참가자 자택(온라인 참여),N,3100000,서울특별시 노원구,20231011,20231225,20231011,20231225,3046211,[노원구자원봉사센터] 4분기 자원봉사교육 및 활성화 캠페인,2,6110000,자원봉사교육 > 자원봉사기본교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3046211,Y,노원구,서울특별시
3,9,10,보령시자원봉사센터 2층 (보령북로 75),Y,4510000,충청남도 보령시,20231005,20240104,20231005,20240104,3043972,한땀한땀 전문봉사단(바느질) 모집,2,6440000,자원봉사교육 > 자원봉사전문교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3043972,Y,보령시,충청남도
4,18,20,유튜브(https://youtu.be/dmbVmldg2GQ),Y,3520000,연수구자원봉사센터,20231018,20231201,20231019,20231208,3049914,(비대면/온라인교육 및 캠페인) 그린상륙작전V-(슬)기로운.(기)후.(생)활_ 그린숲,2,6280000,자원봉사교육 > 자원봉사기타교육.기타교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3049914,Y,연수구,인천광역시
5,18,20,연수구자원봉사센터 유튜브(https://youtu.be/IHr2oRh0ZbU),Y,3520000,연수구자원봉사센터,20231102,20231201,20231102,20231210,3057036,"(비대면/온라인) 그린상륙작전V-(슬)기로운.(기)후.(생)활_탄소는 Bye,그린은 Buy",2,6280000,자원봉사교육 > 자원봉사기타교육.기타교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3057036,Y,연수구,인천광역시
6,0,23,온라인,N,5360000,경상남도 밀양시,20231027,20231231,20231101,20231231,3052180,청소년 자원봉사 온라인 교육,2,6480000,자원봉사교육 > 자원봉사기본교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3052180,Y,밀양시,경상남도
7,0,23,개별장소,N,5350000,경상남도 김해시,20230904,20231203,20230904,20231203,3030415,경상남도자원봉사센터 - 2023 청소년 자원봉사 온라인 교육,2,6480000,자원봉사교육 > 자원봉사기본교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3030415,Y,김해시,경상남도
8,14,16,자원봉사센터 강의실(진남경기장 내 진남스포츠센터 3층),Y,4810000,전라남도 여수시,20230901,20231129,20231018,20231129,3036990,자원봉사 알고합시다!! 바로온 플로깅 교육과 심폐소생술 교육,2,6460000,자원봉사교육 > 자원봉사기본교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3036990,Y,여수시,전라남도
9,6,23,여수시자원봉사온라인교육장접속(http://cafe.daum.net/yeosuvt),Y,4810000,전라남도 여수시,20231120,20231231,20231120,20231231,3064202,자원봉사란 무엇인가? 온라인 자원봉사 교육,2,6460000,자원봉사교육 > 자원봉사기본교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3064202,Y,여수시,전라남도
10,9,21,온라인,Y,4400000,제천시종합자원봉사센터,20231101,20231231,20231101,20231231,3059442,온라인자원봉사기초교육1.2,2,6430000,자원봉사교육 > 자원봉사기본교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3059442,Y,제천시,충청북도
11,9,11,비대면,Y,3860000,부천시자원봉사센터,20231101,20231130,20231101,20231130,3057202,[신규/성인-부천시 소속] 자원봉사 온라인 기본교육 및 개별 비대면 활동 참여,3,6410000,자원봉사교육 > 자원봉사기본교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3057202,N,부천시,경기도
12,19,20,온라인,Y,3550000,계양구자원봉사센터,20231101,20231129,20231101,20231129,3056813,11월 온라인자원봉사 기초교육 안내(계양구소속 성인 자원봉사자만 참여가능),2,6280000,자원봉사교육 > 자원봉사기본교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3056813,N,계양구,인천광역시
13,19,20,온라인 유튜브 교육,N,3520000,연수구자원봉사센터,20230921,20231229,20231001,20231231,3038496,온라인 자원봉사 기초교육(청소년),2,6280000,자원봉사교육 > 자원봉사기본교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3038496,Y,연수구,인천광역시
14,19,20,온라인 유튜브 교육,Y,3520000,연수구자원봉사센터,20230921,20231229,20231001,20231231,3038416,온라인 자원봉사 기초교육(성인),2,6280000,자원봉사교육 > 자원봉사기본교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3038416,N,연수구,인천광역시
15,0,23,온라인,Y,3510000,인천미추홀구종합자원봉사센터,20231101,20231231,20231101,20231231,3056198,온라인 자원봉사 입문교육,2,6280000,자원봉사교육 > 자원봉사기본교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3056198,Y,미추홀구,인천광역시
